2024-08-11 15:53:32 status half-installed libselinux1:i386 3.0-1build2
2024-08-11 15:53:32 status unpacked libselinux1:i386 3.0-1build2
2024-08-11 15:53:32 install libsemanage-common:all <none> 3.0-1build2
2024-08-11 15:53:32 status half-installed libsemanage-common:all 3.0-1build2
2024-08-11 15:53:33 status unpacked libsemanage-common:all 3.0-1build2
2024-08-11 15:53:33 install libsemanage1:i386 <none> 3.0-1build2
2024-08-11 15:53:33 status half-installed libsemanage1:i386 3.0-1build2
2024-08-11 15:53:33 status unpacked libsemanage1:i386 3.0-1build2
2024-08-11 15:53:33 install libsepol1:i386 <none> 3.0-1
2024-08-11 15:53:33 status half-installed libsepol1:i386 3.0-1
2024-08-11 15:53:34 status unpacked libsepol1:i386 3.0-1
2024-08-11 15:53:34 install libsmartcols1:i386 <none> 2.34-0.1ubuntu9
2024-08-11 15:53:34 status half-installed libsmartcols1:i386 2.34-0.1ubuntu9
2024-08-11 15:53:34 status unpacked libsmartcols1:i386 2.34-0.1ubuntu9
2024-08-11 15:53:34 install libss2:i386 <none> 1.45.5-2ubuntu1
2024-08-11 15:53:34 status half-installed libss2:i386 1.45.5-2ubuntu1
2024-08-11 15:53:35 status unpacked libss2:i386 1.45.5-2ubuntu1
2024-08-11 15:53:35 install libsystemd0:i386 <none> 245.4-4ubuntu3
2024-08-11 15:53:35 status half-installed libsystemd0:i386 245.4-4ubuntu3
2024-08-11 15:53:35 status unpacked libsystemd0:i386 245.4-4ubuntu3
2024-08-11 15:53:35 install libtinfo6:i386 <none> 6.2-0ubuntu2
2024-08-11 15:53:35 status half-installed libtinfo6:i386 6.2-0ubuntu2
2024-08-11 15:53:35 status unpacked libtinfo6:i386 6.2-0ubuntu2
2024-08-11 15:53:36 install libudev1:i386 <none> 245.4-4ubuntu3
2024-08-11 15:53:36 status half-installed libudev1:i386 245.4-4ubuntu3
2024-08-11 15:53:36 status unpacked libudev1:i386 245.4-4ubuntu3
2024-08-11 15:53:36 install libuuid1:i386 <none> 2.34-0.1ubuntu9
2024-08-11 15:53:36 status half-installed libuuid1:i386 2.34-0.1ubuntu9
2024-08-11 15:53:37 status unpacked libuuid1:i386 2.34-0.1ubuntu9
2024-08-11 15:53:37 install libzstd1:i386 <none> 1.4.4+dfsg-3
2024-08-11 15:53:37 status half-installed libzstd1:i386 1.4.4+dfsg-3
2024-08-11 15:53:37 status unpacked libzstd1:i386 1.4.4+dfsg-3
2024-08-11 15:53:38 install login:i386 <none> 1:4.8.1-1ubuntu5
2024-08-11 15:53:38 status half-installed login:i386 1:4.8.1-1ubuntu5
2024-08-11 15:53:38 status unpacked login:i386 1:4.8.1-1ubuntu5
2024-08-11 15:53:38 install logsave:i386 <none> 1.45.5-2ubuntu1
2024-08-11 15:53:38 status half-installed logsave:i386 1.45.5-2ubuntu1
2024-08-11 15:53:38 status unpacked logsave:i386 1.45.5-2ubuntu1
2024-08-11 15:53:38 install lsb-base:all <none> 11.1.0ubuntu2
2024-08-11 15:53:38 status half-installed lsb-base:all 11.1.0ubuntu2
2024-08-11 15:53:39 status unpacked lsb-base:all 11.1.0ubuntu2
2024-08-11 15:53:39 upgrade mawk:i386 1.3.4.20200120-2 1.3.4.20200120-2
2024-08-11 15:53:39 status half-configured mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:39 status unpacked mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:39 status half-installed mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:39 status unpacked mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:39 install mount:i386 <none> 2.34-0.1ubuntu9
2024-08-11 15:53:39 status half-installed mount:i386 2.34-0.1ubuntu9
2024-08-11 15:53:40 status unpacked mount:i386 2.34-0.1ubuntu9
2024-08-11 15:53:40 install ncurses-base:all <none> 6.2-0ubuntu2
2024-08-11 15:53:40 status half-installed ncurses-base:all 6.2-0ubuntu2
2024-08-11 15:53:40 status unpacked ncurses-base:all 6.2-0ubuntu2
2024-08-11 15:53:40 install ncurses-bin:i386 <none> 6.2-0ubuntu2
2024-08-11 15:53:40 status half-installed ncurses-bin:i386 6.2-0ubuntu2
2024-08-11 15:53:40 status unpacked ncurses-bin:i386 6.2-0ubuntu2
2024-08-11 15:53:41 install passwd:i386 <none> 1:4.8.1-1ubuntu5
2024-08-11 15:53:41 status half-installed passwd:i386 1:4.8.1-1ubuntu5
2024-08-11 15:53:41 status unpacked passwd:i386 1:4.8.1-1ubuntu5
2024-08-11 15:53:41 upgrade perl-base:i386 5.30.0-9build1 5.30.0-9build1
2024-08-11 15:53:41 status half-configured perl-base:i386 5.30.0-9build1
2024-08-11 15:53:42 status unpacked perl-base:i386 5.30.0-9build1
2024-08-11 15:53:42 status half-installed perl-base:i386 5.30.0-9build1
2024-08-11 15:53:42 status unpacked perl-base:i386 5.30.0-9build1
2024-08-11 15:53:43 install procps:i386 <none> 2:3.3.16-1ubuntu2
